"signal_type","signal_label","fixture_id","date","round","team","opponent","score","result","ball_possession","total_shots","shots_on_goal","shot_accuracy_pct","goals_per_shot_on_goal","corner_kicks","fouls","yellow_cards","passes_pct","signal_strength","note"
"big_score","大比分样本","855735","2022-11-21T13:00:00+00:00","Group Stage - 1","England","Iran","6-2","Win","78","13","7","53.8","0.86","8","9","0","90","8","England vs Iran 打出 6-2，大比分比赛常与节奏、心理和临场波动有关。"
"big_score","大比分样本","855735","2022-11-21T13:00:00+00:00","Group Stage - 1","Iran","England","2-6","Loss","22","8","3","37.5","0.67","0","14","2","66","8","Iran vs England 打出 2-6，大比分比赛常与节奏、心理和临场波动有关。"
"big_score","大比分样本","871851","2022-11-23T16:00:00+00:00","Group Stage - 1","Spain","Costa Rica","7-0","Win","82","17","8","47.1","0.88","5","8","0","94","7","Spain vs Costa Rica 打出 7-0，大比分比赛常与节奏、心理和临场波动有关。"
"big_score","大比分样本","871851","2022-11-23T16:00:00+00:00","Group Stage - 1","Costa Rica","Spain","0-7","Loss","18","0","0","0","0","0","12","2","72","7","Costa Rica vs Spain 打出 0-7，大比分比赛常与节奏、心理和临场波动有关。"
"big_score","大比分样本","977706","2022-12-06T19:00:00+00:00","Round of 16","Switzerland","Portugal","1-6","Loss","52","10","3","30","0.33","6","10","2","84","7","Switzerland vs Portugal 打出 1-6，大比分比赛常与节奏、心理和临场波动有关。"
"big_score","大比分样本","977706","2022-12-06T19:00:00+00:00","Round of 16","Portugal","Switzerland","6-1","Win","48","15","9","60","0.67","6","12","0","83","7","Portugal vs Switzerland 打出 6-1，大比分比赛常与节奏、心理和临场波动有关。"
"big_score","大比分样本","871855","2022-12-01T19:00:00+00:00","Group Stage - 3","Costa Rica","Germany","2-4","Loss","32","7","5","71.4","0.4","1","3","1","75","6","Costa Rica vs Germany 打出 2-4，大比分比赛常与节奏、心理和临场波动有关。"
"big_score","大比分样本","979139","2022-12-18T15:00:00+00:00","Final","France","Argentina","3-3","Loss","46","10","5","50","0.6","5","19","3","77","6","France vs Argentina 打出 3-3，大比分比赛常与节奏、心理和临场波动有关。"
"big_score","大比分样本","871855","2022-12-01T19:00:00+00:00","Group Stage - 3","Germany","Costa Rica","4-2","Win","68","32","11","34.4","0.36","14","9","0","89","6","Germany vs Costa Rica 打出 4-2，大比分比赛常与节奏、心理和临场波动有关。"
"big_score","大比分样本","855756","2022-11-28T10:00:00+00:00","Group Stage - 2","Cameroon","Serbia","3-3","Draw","41","13","8","61.5","0.38","4","8","2","72","6","Cameroon vs Serbia 打出 3-3，大比分比赛常与节奏、心理和临场波动有关。"
