"team_name","matches_played","attack_level","defense_stability","possession_style","shot_quality_label","formation_label","most_used_formation","avg_ball_possession_pct","avg_total_shots","avg_shots_on_goal","avg_goals_for","avg_goals_against","fan_readable_summary","match_judgement_reference","data_basis","draft_status"
"Argentina","7","高","风险偏高","均衡推进型","射正质量高","阵型稳定","4-3-3","55.67","14.17","6.83","2.14","1.14","Argentina 的进攻火力处于强队区间，进球、射正或射门产量至少有两项比较突出；不是极端控球型，更偏均衡推进和效率转换；防守端存在失球或纪律风险，面对强队时需要重点关注；常用阵型是 4-3-3，战术结构有一定延续性。","不要只看控球率，要重点看射正质量和机会转化；防守端要看失球、犯规和黄牌风险。","API-Football 2022 fixtures/statistics/lineups derived summary","draft_rule_v2"
"Australia","4","偏低","中等","低控球反击型","射正质量中等","阵型相对稳定","4-4-2","37.33","7.33","2.33","1","1.5","Australia 的进攻产量偏低，通常更依赖少数高质量机会；不依赖长时间控球，更适合从反击质量和防守结构去理解；常用阵型是 4-4-2，战术结构有一定延续性。","需要关注射门是否能真正转化为射正威胁；即使控球率不高，也不能忽视其转换进攻威胁。","API-Football 2022 fixtures/statistics/lineups derived summary","draft_rule_v2"
"Belgium","3","偏低","稳","均衡推进型","射正质量偏低","阵型相对稳定","4-2-3-1","59.5","13","3","0.33","0.67","Belgium 的进攻产量偏低，通常更依赖少数高质量机会；不是极端控球型，更偏均衡推进和效率转换；防守数据相对稳，失球和纪律风险可控；常用阵型是 4-2-3-1，战术结构有一定延续性。","需要关注射门是否能真正转化为射正威胁；面对该队时，要看对手能否打破其防守结构。","API-Football 2022 fixtures/statistics/lineups derived summary","draft_rule_v2"
"Brazil","5","高","稳","均衡推进型","射正质量高","阵型稳定","4-2-3-1","55.25","18.25","8","1.6","0.6","Brazil 的进攻火力处于强队区间，进球、射正或射门产量至少有两项比较突出；不是极端控球型，更偏均衡推进和效率转换；防守数据相对稳，失球和纪律风险可控；常用阵型是 4-2-3-1，战术结构有一定延续性。","不要只看控球率，要重点看射正质量和机会转化；面对该队时，要看对手能否打破其防守结构。","API-Football 2022 fixtures/statistics/lineups derived summary","draft_rule_v2"
"Cameroon","3","中","中等","低控球反击型","射正质量高","阵型有变化","4-2-3-1","38","10","5.5","1.33","1.33","Cameroon 的进攻产量中等，判断比赛时更需要看临场效率；不依赖长时间控球，更适合从反击质量和防守结构去理解。","不要只看控球率，要重点看射正质量和机会转化；即使控球率不高，也不能忽视其转换进攻威胁。","API-Football 2022 fixtures/statistics/lineups derived summary","draft_rule_v2"
"Canada","3","偏低","风险偏高","均衡推进型","射正质量偏低","阵型有变化","4-4-1-1","55.5","6.5","1","0.67","2.33","Canada 的进攻产量偏低，通常更依赖少数高质量机会；不是极端控球型，更偏均衡推进和效率转换；防守端存在失球或纪律风险，面对强队时需要重点关注。","需要关注射门是否能真正转化为射正威胁；防守端要看失球、犯规和黄牌风险。","API-Football 2022 fixtures/statistics/lineups derived summary","draft_rule_v2"
"Costa Rica","3","偏低","中等","低控球反击型","射正质量高","阵型相对稳定","5-4-1","37.5","5.5","3","1","3.67","Costa Rica 的进攻产量偏低，通常更依赖少数高质量机会；不依赖长时间控球，更适合从反击质量和防守结构去理解；常用阵型是 5-4-1，战术结构有一定延续性。","不要只看控球率，要重点看射正质量和机会转化；即使控球率不高，也不能忽视其转换进攻威胁。","API-Football 2022 fixtures/statistics/lineups derived summary","draft_rule_v2"
"Croatia","7","偏低","稳","均衡推进型","射正质量中等","阵型稳定","4-3-3","52.83","12.33","4.17","1.14","1","Croatia 的进攻产量偏低，通常更依赖少数高质量机会；不是极端控球型，更偏均衡推进和效率转换；防守数据相对稳，失球和纪律风险可控；常用阵型是 4-3-3，战术结构有一定延续性。","需要关注射门是否能真正转化为射正威胁；面对该队时，要看对手能否打破其防守结构。","API-Football 2022 fixtures/statistics/lineups derived summary","draft_rule_v2"
"Denmark","3","偏低","稳","混合型","射正质量偏低","阵型有变化","4-3-3","60","11.5","2.5","0.33","1","Denmark 的进攻产量偏低，通常更依赖少数高质量机会；风格比较混合，需要结合对手类型判断；防守数据相对稳，失球和纪律风险可控。","需要关注射门是否能真正转化为射正威胁；面对该队时，要看对手能否打破其防守结构。","API-Football 2022 fixtures/statistics/lineups derived summary","draft_rule_v2"
"Ecuador","3","偏低","中等","混合型","射正质量高","阵型有变化","4-3-3","61","9","4","1.33","1","Ecuador 的进攻产量偏低，通常更依赖少数高质量机会；风格比较混合，需要结合对手类型判断。","不要只看控球率，要重点看射正质量和机会转化。","API-Football 2022 fixtures/statistics/lineups derived summary","draft_rule_v2"
